id,exercise_name,muscle_group,equipment
640,Kettlebell One-Arm Push Press,Shoulders,Kettlebell
641,Shoulder Rotation,Shoulders,Body Weight
642,Hip Abduction,Glutes,Body Weight
643,Barbell Rear Tricep Extension,Triceps,Barbell
644,Stability Ball Plank,Abs,Exercise Ball
645,Trap Bar Romanian Deadlift,Upper Legs,
646,Boat Pose,Abs,Body Weight
647,Dumbbell Reverse Fly with External Rotation,Shoulders,Dumbbell
648,Single-Leg Push-Up,Chest,Body Weight
649,Smith Machine Bent-Over Row (Reverse Grip),Back,Strength Machine
650,Cable One-Arm Concentration Curl,Biceps,Strength Machine
651,Ankle Circles,Lower Legs,Body Weight
652,Barbell Rocking Standing Calf Raise,Lower Legs,Barbell
653,Child's Pose,Abs,Body Weight
654,Upper Back Stretch,Back,Body Weight
655,Smith Machine Bicep Curl,Biceps,Strength Machine
656,Dumbbell Rotational Decline Sit-Up,Abs,Dumbbell
657,Cable Calf Raise,Lower Legs,Strength Machine
658,Barbell Squat with Narrow Stance,Upper Legs,Barbell
659,Dumbbell Renegade Row,Back,Dumbbell
660,Bench Oblique Crunch,Abs,Bench
661,Dumbbell Bicep Curl (Supine),Biceps,Dumbbell
662,Dumbbell Single-Leg Calf Raise,Lower Legs,Dumbbell
663,Cable One-Arm Side Bend,Abs,Strength Machine
664,Bench Plank,Abs,Bench
665,Upward Stretch,Shoulders,Body Weight
666,Band Hip Lift,Glutes,Bands
667,EZ Bar Preacher Curl (Reverse Grip),Forearms,EZ Curl Bar
668,Barbell Incline Bench Pull,Back,Bench
669,Dumbbell Fly (Stability Ball),Chest,Dumbbell
670,Dumbbell Alternating Reverse Curl,Forearms,Dumbbell
671,Dumbbell See Saw Press,Shoulders,Dumbbell
672,Cat Cow Stretch,Back,Body Weight
673,Shoulder Circles,Shoulders,Body Weight
674,Hip Flexor Stretch,Upper Legs,Body Weight
675,Cable Seated Curl,Biceps,Strength Machine
676,Calf Raise On A Dumbbell,Lower Legs,Dumbbell
677,Sphinx,Back,Body Weight
678,Barbell Bradford Rocky Press,Shoulders,Barbell
679,Dumbbell Reverse Fly (Prone),Shoulders,Dumbbell
680,Dumbbell 3 Way Shoulder Raise,Shoulders,Dumbbell
681,Dumbbell One-Arm Hammer Press,Chest,Dumbbell
682,Dumbbell One-Arm Wrist Curl,Forearms,Dumbbell
683,Tricep Side Stretch,Triceps,Body Weight
684,Kettlebell Dead Clean,Upper Legs,Kettlebell
685,Barbell Overhead Squat,Upper Legs,Barbell
686,Dumbbell Alternating Bent-Over Reverse Fly,Shoulders,Dumbbell
687,Kettlebell Farmer's Carry,Upper Legs,Kettlebell
688,Hanging Knee Raise (Rotational),Abs,Pullup Bar
689,Barbell Pin-Off Good Morning,Upper Legs,Barbell
690,Dumbbell Alternating Shoulder Press,Shoulders,Dumbbell
691,Barbell Landmine Double Arm Row,Back,Barbell
692,Barbell Decline Bench Press (Wide Grip),Chest,Barbell
693,Smith Machine Deltoid Row,Shoulders,Strength Machine
694,Wrist Circles,Forearms,Body Weight
695,Trap Bar Squat,Upper Legs,
696,Side-Lying Hip Abduction,Upper Legs,Body Weight
697,Kettlebell Alternating Row,Back,Kettlebell
698,Kettlebell Military Press,Shoulders,Kettlebell
699,Walking High Knees,Upper Legs,Body Weight
700,Dumbbell Rotational Bench Press,Triceps,Dumbbell
701,Lying Alternating Knee Raise,Abs,Body Weight
702,Star Jump,Upper Legs,Body Weight
703,Dumbbell Split Jump,Upper Legs,Dumbbell
704,Clap Push-Up,Chest,Body Weight
705,Kettlebell Push-Up,Chest,Kettlebell
706,Dumbbell Seated Alternating Front Raise,Shoulders,Dumbbell
707,Dumbbell Incline Shoulder Raise,Shoulders,Dumbbell
708,Dumbbell Iron Cross,Upper Legs,Dumbbell
709,Smith Machine Hack Squat,Upper Legs,Strength Machine
710,Knee to Chest (Supine),Glutes,Body Weight
711,Posterior Lower Leg Stretch,Lower Legs,Body Weight
712,Dumbbell One-Arm Seated Curl,Biceps,Dumbbell
713,Weighted Drop Push-Up,Chest,Bench
714,Dumbbell Seated One-Arm Shoulder Press,Shoulders,Dumbbell
715,Cable Russian Twist (Stability Ball),Abs,Strength Machine
716,Shell Stretch,Abs,Body Weight
717,Seated Hamstring Stretch,Upper Legs,Body Weight
718,Bird Dog Elbow to Knee,Abs,Body Weight
719,Rocket Jump,Upper Legs,Body Weight
720,Dumbbell Push Press,Shoulders,Dumbbell
721,Calf Machine Shoulder Shrug,Back,Strength Machine
722,Weight Plate Squat,Upper Legs,Weight Plate
723,Alternating Reach and Catch,Abs,Body Weight
724,Weight Plate Sissy Squat,Upper Legs,Weight Plate
725,Barbell Snatch Shrug,Back,Barbell
726,Cable Overhead Raise (Supine),Shoulders,Strength Machine
727,Smith Machine Shoulder Press (Wide Grip),Shoulders,Strength Machine
728,Smith Machine Decline Bench Press (Close Grip),Chest,Strength Machine
729,Stability Ball Back Extension,Back,Exercise Ball
730,Kneeling Hip Extension,Upper Legs,Body Weight
731,Cable Upward Chop,Abs,Strength Machine
732,Cable Chest Press (Supine Stability Ball),Chest,Strength Machine
733,Cable Incline Bench Row,Back,Strength Machine
734,Hundreds,Abs,Body Weight
735,Barbell Curl Against an Incline,Biceps,Barbell
736,Kneeling Hip Flexor,Upper Legs,Body Weight
737,Dumbbell Forward Lunge with Bicep Curl,Biceps,Dumbbell
738,Barbell 1/2 Squat,Upper Legs,Barbell
739,Weight Plate Wall Sit,Upper Legs,Weight Plate
740,Decline Bench Leg Raise with Hip Thrust,Abs,Bench
741,Overhead Stretch,Abs,Body Weight
742,Kettlebell One-Arm Military Press,Shoulders,Kettlebell
743,Dumbbell One-Arm Tricep Extension (Pronated),Triceps,Dumbbell
744,Cable Reverse Crunch,Abs,Strength Machine
745,Hip Raise,Abs,Body Weight
746,Stability Ball Crunch,Abs,Exercise Ball
747,Runner's Stretch,Upper Legs,Body Weight
748,Barbell Cambered Row (Prone),Back,Barbell
749,Dumbbell One-Arm Upright Row,Shoulders,Dumbbell
750,Barbell Concentration Curl (Close Grip),Biceps,Barbell
751,Barbell Squat to Shoulder Press,Upper Legs,Barbell
752,Barbell Landmine One-Arm Row,Back,Barbell
753,Barbell Press Sit-Up,Abs,Barbell
754,Dumbbell Squat to Bicep Curl,Biceps,Dumbbell
755,Band Upright Row,Back,Bands
756,Cable Rope One-Arm Preacher Curl (Hammer),Biceps,Strength Machine
757,Dumbbell Dublin Press,Shoulders,Dumbbell
758,Dumbbell Press (Stability Ball),Chest,Dumbbell
759,Posterior Capsule Stretch,Shoulders,Body Weight
760,V Bar Pull-Up,Back,Pullup Bar
761,Climber Pull-Up,Back,Pullup Bar
762,Dumbbell Seated Wrist Curl (Neutral Grip),Forearms,Dumbbell
763,Cable Squat Curl,Biceps,Strength Machine
764,Knee to Chest to Leg Raise,Abs,Body Weight
765,Kneeling Lat Stretch,Back,Body Weight
766,Band Good Morning,Upper Legs,Bands
767,Dumbbell One-Arm Rear Row (Prone),Back,Dumbbell
768,Dumbbell Incline Hammer Curl (Prone),Biceps,Dumbbell
769,Dumbbell One-Arm Tricep Extension (Supinated),Triceps,Dumbbell
770,Dumbbell Wall Squat,Upper Legs,Dumbbell
771,EZ Bar Seated Reverse Grip French Press,Triceps,Barbell
772,Barbell Front Raise Pullover,Chest,Barbell
773,Barbell Decline Pullover,Chest,Barbell
774,Inchworm,Abs,Body Weight
775,Barbell Snatch,Upper Legs,Barbell
776,Kettlebell One-Arm Floor Press,Chest,Kettlebell
777,Dumbbell Seated One-Arm Wrist Curl,Forearms,Dumbbell
778,Band Bench Press,Chest,Bands
779,Kettlebell Leg Pass,Abs,Kettlebell
780,Barbell Reverse Tricep Bench Press,Triceps,Barbell
781,All Fours Quad Stretch,Upper Legs,Body Weight
782,Stability Ball Push-Up,Chest,Exercise Ball
783,Dumbbell Single-Leg Bench Squat,Upper Legs,Dumbbell
784,Stability Ball Pike Push-Up,Chest,Exercise Ball
785,Glute Bridge March,Abs,Body Weight
786,Cable Rotational Crunch (Kneeling),Abs,Strength Machine
787,Leg Lift,Glutes,Body Weight
788,Smith Machine Shoulder Press (Close Grip),Shoulders,Strength Machine
789,Straight Arm Plank,Abs,Body Weight
790,Dumbbell One-Arm Front Raise,Shoulders,Dumbbell
791,Seated Twist,Abs,Body Weight
792,Barbell Neck Press,Chest,Barbell
793,Stability Ball Leg Lift,Abs,Exercise Ball
794,Barbell Landmine Squat,Upper Legs,Barbell
795,Barbell Stiff-Leg Deadlift (Wide Stance),Back,Barbell
796,Forward Step-Up,Upper Legs,Bench
797,Kettlebell Suitcase Carry,Upper Legs,Dumbbell
798,Cable Rope Incline Tricep Extension,Triceps,Strength Machine
799,Seated Rotation,Back,Body Weight
800,Kettlebell One-Arm Clean and Jerk,Shoulders,Kettlebell
801,Dumbbell Alternating Preacher Curl (Hammer),Biceps,Strength Machine
802,Mountain Biking,Cardio,Other
803,Cable One-Arm Incline Press,Chest,Strength Machine
804,Kettlebell Advanced Windmill,Abs,Kettlebell
805,Gironda Sternum Pull-Up,Back,Pullup Bar
806,Dumbbell One-Arm Shoulder Press,Shoulders,Dumbbell
807,Single-Leg Hack Squat,Upper Legs,Strength Machine
808,Barbell Power Clean from Blocks,Upper Legs,Barbell
809,Cable Kneeling Tricep Extension,Triceps,Strength Machine
810,Stability Ball Wall Squat,Upper Legs,Exercise Ball
811,Cable Rope Preacher Curl (Hammer),Biceps,Strength Machine
812,Weighted Side Touch,Abs,Weight Plate
813,Exercise Dome Push-Up,Chest,
814,Dumbbell Seated One-Arm Lateral Raise,Shoulders,Dumbbell
815,Stability Ball Hip Thrust,Glutes,Exercise Ball
816,Janda Sit-Up,Abs,Body Weight
817,Dumbbell One-Arm Tricep Extension (Reverse Grip),Triceps,Dumbbell
818,Kettlebell Turkish Get-Up Lunge,Shoulders,Kettlebell
819,Barbell Incline Shoulder Raise,Shoulders,Barbell
820,Cable Bicep Curl (Supine Close Grip),Biceps,Strength Machine
821,Smith Machine Decline Bench Press (Wide Grip),Chest,Strength Machine
822,Weighted Decline Rotation,Abs,Weight Plate
823,Weight Plate Pinch,Forearms,Weight Plate
